unicode,unicode padded,unicodevalue
0x24a,u+024a,024a
0x24b,u+024b,024b
0x24c,u+024c,024c
0x24d,u+024d,024d
0x24e,u+024e,024e
0x24f,u+024f,024f
0x292,u+0292,0292
0x2bc,u+02bc,02bc
0x2c6,u+02c6,02c6
0x2c7,u+02c7,02c7
0x2c9,u+02c9,02c9
0x2d8,u+02d8,02d8
0x2d9,u+02d9,02d9
0x2da,u+02da,02da
0x2db,u+02db,02db
0x2dc,u+02dc,02dc
0x2dd,u+02dd,02dd
0x311,u+0311,0311
0x384,u+0384,0384
0x385,u+0385,0385
0x386,u+0386,0386
0x388,u+0388,0388
0x389,u+0389,0389
0x38a,u+038a,038a
0x38c,u+038c,038c
0x38e,u+038e,038e
0x38f,u+038f,038f
0x390,u+0390,0390
0x391,u+0391,0391
0x392,u+0392,0392
0x393,u+0393,0393
0x394,u+0394,0394
0x395,u+0395,0395
0x396,u+0396,0396
0x397,u+0397,0397
0x398,u+0398,0398
0x399,u+0399,0399
0x39a,u+039a,039a
0x39b,u+039b,039b
0x39c,u+039c,039c
0x39d,u+039d,039d
0x39e,u+039e,039e
0x39f,u+039f,039f
0x3a0,u+03a0,03a0
0x3a1,u+03a1,03a1
0x3a3,u+03a3,03a3
0x3a4,u+03a4,03a4
0x3a5,u+03a5,03a5
0x3a6,u+03a6,03a6
0x3a7,u+03a7,03a7
0x3a8,u+03a8,03a8
0x3a9,u+03a9,03a9
0x3aa,u+03aa,03aa
0x3ab,u+03ab,03ab
0x3ac,u+03ac,03ac
0x3ad,u+03ad,03ad
0x3ae,u+03ae,03ae
0x3af,u+03af,03af
0x3b0,u+03b0,03b0
0x3b1,u+03b1,03b1
0x3b2,u+03b2,03b2
0x3b3,u+03b3,03b3
0x3b4,u+03b4,03b4
0x3b5,u+03b5,03b5
0x3b6,u+03b6,03b6
0x3b7,u+03b7,03b7
0x3b8,u+03b8,03b8
0x3b9,u+03b9,03b9
0x3ba,u+03ba,03ba
0x3bb,u+03bb,03bb
0x3bc,u+03bc,03bc
0x3bd,u+03bd,03bd
0x3be,u+03be,03be
0x3bf,u+03bf,03bf
0x3c0,u+03c0,03c0
0x3c1,u+03c1,03c1
0x3c2,u+03c2,03c2
0x3c3,u+03c3,03c3
0x3c4,u+03c4,03c4
0x3c5,u+03c5,03c5
0x3c6,u+03c6,03c6
0x3c7,u+03c7,03c7
0x3c8,u+03c8,03c8
0x3c9,u+03c9,03c9
0x3ca,u+03ca,03ca
0x3cb,u+03cb,03cb
0x3cc,u+03cc,03cc
0x3cd,u+03cd,03cd
0x3ce,u+03ce,03ce
0x400,u+0400,0400
0x401,u+0401,0401
0x402,u+0402,0402
0x403,u+0403,0403
0x404,u+0404,0404
0x405,u+0405,0405
0x406,u+0406,0406
0x407,u+0407,0407
0x408,u+0408,0408
0x409,u+0409,0409
0x40a,u+040a,040a
0x40b,u+040b,040b
0x40c,u+040c,040c
0x40d,u+040d,040d
0x40e,u+040e,040e
0x40f,u+040f,040f
0x410,u+0410,0410
0x411,u+0411,0411
0x412,u+0412,0412
0x413,u+0413,0413
0x414,u+0414,0414
0x415,u+0415,0415
0x416,u+0416,0416
0x417,u+0417,0417
0x418,u+0418,0418
0x419,u+0419,0419
0x41a,u+041a,041a
0x41b,u+041b,041b
0x41c,u+041c,041c
0x41d,u+041d,041d
0x41e,u+041e,041e
0x41f,u+041f,041f
0x420,u+0420,0420
0x421,u+0421,0421
0x422,u+0422,0422
0x423,u+0423,0423
0x424,u+0424,0424
0x425,u+0425,0425
0x426,u+0426,0426
0x427,u+0427,0427
0x428,u+0428,0428
0x429,u+0429,0429
0x42a,u+042a,042a
0x42b,u+042b,042b
0x42c,u+042c,042c
0x42d,u+042d,042d
0x42e,u+042e,042e
0x42f,u+042f,042f
0x430,u+0430,0430
0x431,u+0431,0431
0x432,u+0432,0432
0x433,u+0433,0433
0x434,u+0434,0434
0x435,u+0435,0435
0x436,u+0436,0436
0x437,u+0437,0437
0x438,u+0438,0438
0x439,u+0439,0439
0x43a,u+043a,043a
0x43b,u+043b,043b
0x43c,u+043c,043c
0x43d,u+043d,043d
0x43e,u+043e,043e
0x43f,u+043f,043f
0x440,u+0440,0440
0x441,u+0441,0441
0x442,u+0442,0442
0x443,u+0443,0443
0x444,u+0444,0444
0x445,u+0445,0445
0x446,u+0446,0446
0x447,u+0447,0447
0x448,u+0448,0448
0x449,u+0449,0449
0x44a,u+044a,044a
0x44b,u+044b,044b
0x44c,u+044c,044c
0x44d,u+044d,044d
0x44e,u+044e,044e
0x44f,u+044f,044f
0x450,u+0450,0450
0x451,u+0451,0451
0x452,u+0452,0452
0x453,u+0453,0453
0x454,u+0454,0454
0x455,u+0455,0455
0x456,u+0456,0456
0x457,u+0457,0457
0x458,u+0458,0458
0x459,u+0459,0459
0x45a,u+045a,045a
0x45b,u+045b,045b
0x45c,u+045c,045c
0x45d,u+045d,045d
0x45e,u+045e,045e
0x45f,u+045f,045f
0x462,u+0462,0462
0x463,u+0463,0463
0x472,u+0472,0472
0x473,u+0473,0473
0x474,u+0474,0474
0x475,u+0475,0475
0x48a,u+048a,048a
0x48b,u+048b,048b
0x48c,u+048c,048c
0x48d,u+048d,048d
0x48e,u+048e,048e
0x48f,u+048f,048f
0x490,u+0490,0490
0x491,u+0491,0491
0x492,u+0492,0492
0x493,u+0493,0493
0x494,u+0494,0494
0x495,u+0495,0495
0x496,u+0496,0496
0x497,u+0497,0497
0x498,u+0498,0498
0x499,u+0499,0499
0x49a,u+049a,049a
0x49b,u+049b,049b
0x49c,u+049c,049c
0x49d,u+049d,049d
0x49e,u+049e,049e
0x49f,u+049f,049f
0x4a0,u+04a0,04a0
0x4a1,u+04a1,04a1
0x4a2,u+04a2,04a2
0x4a3,u+04a3,04a3
0x4a4,u+04a4,04a4
0x4a5,u+04a5,04a5
0x4a6,u+04a6,04a6
0x4a7,u+04a7,04a7
0x4a8,u+04a8,04a8
0x4a9,u+04a9,04a9
0x4aa,u+04aa,04aa
0x4ab,u+04ab,04ab
0x4ac,u+04ac,04ac
0x4ad,u+04ad,04ad
0x4ae,u+04ae,04ae
0x4af,u+04af,04af
0x4b0,u+04b0,04b0
0x4b1,u+04b1,04b1
0x4b2,u+04b2,04b2
0x4b3,u+04b3,04b3
0x4b4,u+04b4,04b4
0x4b5,u+04b5,04b5
0x4b6,u+04b6,04b6
0x4b7,u+04b7,04b7
0x4b8,u+04b8,04b8
0x4b9,u+04b9,04b9
0x4ba,u+04ba,04ba
0x4bb,u+04bb,04bb
0x4bc,u+04bc,04bc
0x4bd,u+04bd,04bd
0x4be,u+04be,04be
0x4bf,u+04bf,04bf
0x4c0,u+04c0,04c0
0x4c1,u+04c1,04c1
0x4c2,u+04c2,04c2
0x4c3,u+04c3,04c3
0x4c4,u+04c4,04c4
0x4c5,u+04c5,04c5
0x4c6,u+04c6,04c6
0x4c7,u+04c7,04c7
0x4c8,u+04c8,04c8
0x4c9,u+04c9,04c9
0x4ca,u+04ca,04ca
0x4cb,u+04cb,04cb
0x4cc,u+04cc,04cc
0x4cd,u+04cd,04cd
0x4ce,u+04ce,04ce
0x4cf,u+04cf,04cf
0x4d0,u+04d0,04d0
0x4d1,u+04d1,04d1
0x4d2,u+04d2,04d2
0x4d3,u+04d3,04d3
0x4d4,u+04d4,04d4
0x4d5,u+04d5,04d5
0x4d6,u+04d6,04d6
0x4d7,u+04d7,04d7
0x4d8,u+04d8,04d8
0x4d9,u+04d9,04d9
0x4da,u+04da,04da
0x4db,u+04db,04db
0x4dc,u+04dc,04dc
0x4dd,u+04dd,04dd
0x4de,u+04de,04de
0x4df,u+04df,04df
0x4e0,u+04e0,04e0
0x4e1,u+04e1,04e1
0x4e2,u+04e2,04e2
0x4e3,u+04e3,04e3
0x4e4,u+04e4,04e4
0x4e5,u+04e5,04e5
0x4e6,u+04e6,04e6
0x4e7,u+04e7,04e7
0x4e8,u+04e8,04e8
0x4e9,u+04e9,04e9
0x4ea,u+04ea,04ea
0x4eb,u+04eb,04eb
0x4ec,u+04ec,04ec
0x4ed,u+04ed,04ed
0x4ee,u+04ee,04ee
0x4ef,u+04ef,04ef
0x4f0,u+04f0,04f0
0x4f1,u+04f1,04f1
0x4f2,u+04f2,04f2
0x4f3,u+04f3,04f3
0x4f4,u+04f4,04f4
0x4f5,u+04f5,04f5
0x4f6,u+04f6,04f6
0x4f7,u+04f7,04f7
0x4f8,u+04f8,04f8
0x4f9,u+04f9,04f9
0x1e80,u+04f9,1e80
0x1e81,u+04f9,1e81
0x1e82,u+04f9,1e82
0x1e83,u+04f9,1e83
0x1e84,u+04f9,1e84
0x1e85,u+04f9,1e85
0x1ef2,u+04f9,1ef2
0x1ef3,u+04f9,1ef3
0x1f00,u+04f9,1f00
0x1f01,u+04f9,1f01
0x1f02,u+04f9,1f02
0x1f03,u+04f9,1f03
0x1f04,u+04f9,1f04
0x1f05,u+04f9,1f05
0x1f06,u+04f9,1f06
0x1f07,u+04f9,1f07
0x1f08,u+04f9,1f08
0x1f09,u+04f9,1f09
0x1f0a,u+04f9,1f0a
0x1f0b,u+04f9,1f0b
0x1f0c,u+04f9,1f0c
0x1f0d,u+04f9,1f0d
0x1f0e,u+04f9,1f0e
0x1f0f,u+04f9,1f0f
0x1f10,u+04f9,1f10
0x1f11,u+04f9,1f11
0x1f12,u+04f9,1f12
0x1f13,u+04f9,1f13
0x1f14,u+04f9,1f14
0x1f15,u+04f9,1f15
0x1f18,u+04f9,1f18
0x1f19,u+04f9,1f19
0x1f1a,u+04f9,1f1a
0x1f1b,u+04f9,1f1b
0x1f1c,u+04f9,1f1c
0x1f1d,u+04f9,1f1d
0x1f20,u+04f9,1f20
0x1f21,u+04f9,1f21
0x1f22,u+04f9,1f22
0x1f23,u+04f9,1f23
0x1f24,u+04f9,1f24
0x1f25,u+04f9,1f25
0x1f26,u+04f9,1f26
0x1f27,u+04f9,1f27
0x1f28,u+04f9,1f28
0x1f29,u+04f9,1f29
0x1f2a,u+04f9,1f2a
0x1f2b,u+04f9,1f2b
0x1f2c,u+04f9,1f2c
0x1f2d,u+04f9,1f2d
0x1f2e,u+04f9,1f2e
0x1f2f,u+04f9,1f2f
0x1f30,u+04f9,1f30
0x1f31,u+04f9,1f31
0x1f32,u+04f9,1f32
0x1f33,u+04f9,1f33
0x1f34,u+04f9,1f34
0x1f35,u+04f9,1f35
0x1f36,u+04f9,1f36
0x1f37,u+04f9,1f37
0x1f38,u+04f9,1f38
0x1f39,u+04f9,1f39
0x1f3a,u+04f9,1f3a
0x1f3b,u+04f9,1f3b
0x1f3c,u+04f9,1f3c
0x1f3d,u+04f9,1f3d
0x1f3e,u+04f9,1f3e
0x1f3f,u+04f9,1f3f
0x1f40,u+04f9,1f40
0x1f41,u+04f9,1f41
0x1f42,u+04f9,1f42
0x1f43,u+04f9,1f43
0x1f44,u+04f9,1f44
0x1f45,u+04f9,1f45
0x1f48,u+04f9,1f48
0x1f49,u+04f9,1f49
0x1f4a,u+04f9,1f4a
0x1f4b,u+04f9,1f4b
0x1f4c,u+04f9,1f4c
0x1f4d,u+04f9,1f4d
0x1f50,u+04f9,1f50
0x1f51,u+04f9,1f51
0x1f52,u+04f9,1f52
0x1f53,u+04f9,1f53
0x1f54,u+04f9,1f54
0x1f55,u+04f9,1f55
0x1f56,u+04f9,1f56
0x1f57,u+04f9,1f57
0x1f59,u+04f9,1f59
0x1f5b,u+04f9,1f5b
0x1f5d,u+04f9,1f5d
0x1f5f,u+04f9,1f5f
0x1f60,u+04f9,1f60
0x1f61,u+04f9,1f61
0x1f62,u+04f9,1f62
0x1f63,u+04f9,1f63
0x1f64,u+04f9,1f64
0x1f65,u+04f9,1f65
0x1f66,u+04f9,1f66
0x1f67,u+04f9,1f67
0x1f68,u+04f9,1f68
0x1f69,u+04f9,1f69
0x1f6a,u+04f9,1f6a
0x1f6b,u+04f9,1f6b
0x1f6c,u+04f9,1f6c
0x1f6d,u+04f9,1f6d
0x1f6e,u+04f9,1f6e
0x1f6f,u+04f9,1f6f
0x1f70,u+04f9,1f70
0x1f71,u+04f9,1f71
0x1f72,u+04f9,1f72
0x1f73,u+04f9,1f73
0x1f74,u+04f9,1f74
0x1f75,u+04f9,1f75
0x1f76,u+04f9,1f76
0x1f77,u+04f9,1f77
0x1f78,u+04f9,1f78
0x1f79,u+04f9,1f79
0x1f7a,u+04f9,1f7a
0x1f7b,u+04f9,1f7b
0x1f7c,u+04f9,1f7c
0x1f7d,u+04f9,1f7d
0x1f80,u+04f9,1f80
0x1f81,u+04f9,1f81
0x1f82,u+04f9,1f82
0x1f83,u+04f9,1f83
